Cruise,Transect,Station,Latitude,Longitude,Time_PST,Night0Day1,Class,Abundance (#/m^2),ESD_n,ESD_mean,ESD_mean-1outlier,ESD_mean-2outliers,Feret_n,Feret_mean,Feret_mean-1outlier,Feret_mean-2outliers,ugcarbon_n,ugcarbon_mean,ugcarbon_mean-1outlier,ugcarbon_mean-2outliers,Carbon_mg_sum,Carbon_mg_sum-1outlier,Carbon_mg_sum-2outliers
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,copepoda_others,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,copepoda_poecilostomatoids,33565.865724,146,0.534602,0.530106,0.528423,146,1.003779,0.994436,0.988887,146,2.765569,2.688955,2.634879,92.828733,89.62364,87.200513
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,crustacea_others,376.925795,6,1.57004,1.486876,1.397949,6,2.561306,2.484137,3.589969,6,14.213072,9.044576,6.158719,5.357274,3.153457,1.973184
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,doliolids,28.268551,1,6.190048,NaN,NaN,1,13.618333,NaN,NaN,1,180.318688,NaN,NaN,5.097348,NaN,NaN
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,eggs,7774.240283,33,0.361511,0.351628,0.348067,33,0.418808,0.401636,0.386197,33,7.748798,5.911207,4.489059,60.241019,44.562564,32.783929
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,euphausiids,1620.777385,28,1.998809,2.567939,2.506594,28,5.774511,7.458942,7.253773,28,565.376969,524.246003,457.315537,916.350206,834.866391,715.351384
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,multiples,735.017668,4,0.887661,0.83034,0.660729,4,1.891754,1.776587,1.711245,4,11.977823,7.179616,2.776166,8.803911,5.074188,1.308035
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,nauplii,735.017668,4,0.36713,0.346153,0.344081,4,0.648558,0.620644,0.650976,4,2.174807,1.932854,2.147441,1.598522,0.965334,0.566606
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,ostracods,6002.650177,29,0.596137,0.699389,0.654192,29,0.855522,1.009138,0.925374,29,5.207162,8.742281,6.457975,31.256774,50.417322,35.722189
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,others,1187.314488,20,0.927701,1.59145,1.567905,20,1.664831,3.086635,3.152525,20,26.64267,53.076447,50.082943,31.633228,61.51804,56.632659
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,polychaete,763.286219,5,1.019291,0.937607,0.86127,5,1.770592,1.594677,1.414983,5,18.788139,15.681196,12.547645,14.340727,11.525956,8.868037
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,pteropoda,1941.201413,10,0.505838,0.657515,0.498121,10,0.947178,1.354994,0.922594,10,66.087945,62.577149,22.502959,128.290012,106.732735,33.080145
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,pyrosomes,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,rhizaria,961.166078,12,0.847897,0.992751,0.903008,12,1.226645,1.461054,1.329817,12,6.481321,10.335156,7.481865,6.229626,9.641642,5.217213
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,salps,169.611307,6,1.369162,1.457714,1.577347,6,3.792618,4.01981,4.317479,6,22.490673,24.881368,28.114251,3.814672,3.516801,3.178997
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,All Classes,331125.583039,1725,0.53019,0.751743,0.747056,1725,1.052972,1.611949,1.591104,1725,13.380692,52.249423,37.779695,4430.689506,17288.811623,12492.022949
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,All Copepods,285714.770318,1424,0.495964,0.704608,0.702433,1424,0.941531,1.43168,1.422724,1424,6.173663,27.168889,25.189583,1763.906821,7756.152249,7185.167552
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,All Calanoid Copepods,207981.80212,1087,0.53373,0.730838,0.730483,1087,1.00125,1.446989,1.445516,1087,7.994681,21.078775,20.752125,1662.748204,4383.40578,4314.891042
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,All Non-Calanoid Copepods,77732.968198,337,0.394917,0.394593,0.393444,337,0.781748,0.782036,0.777213,337,1.301361,1.289348,1.259096,101.158618,99.921129,97.280024
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,appendicularia,13447.067138,65,0.73702,0.734157,0.732685,65,2.152178,2.108948,2.103727,65,8.761258,7.925376,7.837821,117.81323,104.705983,103.327688
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,bryozoan_larvae,5682.261484,25,0.485105,0.481165,0.483307,25,0.6489,0.616652,0.610279,25,1.077969,1.044819,1.029556,6.125302,5.690795,5.365114
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,chaetognatha,2506.572438,30,1.427091,2.082967,1.8492,30,5.326639,7.930508,7.243406,30,28.369968,77.803699,60.754937,71.111379,176.691377,123.660984
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,cnidaria_ctenophores,895.194346,17,2.04268,2.079672,1.950459,17,4.548663,4.581167,4.308605,17,64.110495,65.795191,62.751313,57.391353,57.039548,52.626843
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,copepoda_calanoida,206766.219081,1066,0.527486,0.731121,0.728274,1066,0.973396,1.419042,1.411586,1066,4.698974,16.486092,16.014738,971.589134,3404.88299,3303.761138
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,copepoda_eucalanids,1215.583039,21,1.595689,2.182046,2.153871,21,5.739122,7.570672,7.722151,21,568.582357,870.460671,832.577724,691.15907,1033.510566,964.995828
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,copepoda_harpacticoida,527.70318,4,0.657822,0.598606,0.619684,4,1.915629,2.138762,1.200094,4,2.794492,2.493563,0.542535,1.474663,0.72842,0.030673
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,copepoda_oithona_like,48614.911661,209,0.336736,0.334981,0.334076,209,0.697064,0.693397,0.690907,209,0.818545,0.802333,0.791134,39.793477,38.816354,38.088134
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,copepoda_others,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,copepoda_poecilostomatoids,28590.353357,124,0.488996,0.48631,0.484365,124,0.904815,0.895224,0.89078,124,2.094779,2.001057,1.968062,59.890479,56.7395,55.340313
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,crustacea_others,574.805654,13,1.710723,1.813208,1.768503,13,3.261974,3.134368,3.030221,13,25.536609,21.161683,18.194876,14.678587,11.565645,9.429832
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,doliolids,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,eggs,7180.565371,34,0.356558,0.360181,0.343232,34,0.393304,0.397924,0.377011,34,6.519285,6.527988,4.163263,46.812153,46.690107,28.7961
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,euphausiids,1554.805654,33,2.611829,3.724243,3.656223,33,7.672396,10.805811,10.42727,33,1365.656516,1746.190044,1394.968897,2123.330472,2665.62389,2090.038028
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,multiples,499.434629,3,0.659047,0.527506,0.620292,3,1.583456,0.88957,1.56476,3,7.758674,1.393544,2.266934,3.87495,0.367689,0.064083
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,nauplii,1177.915194,5,0.513993,0.556118,0.601317,5,0.893126,0.970714,1.088631,5,4.948246,4.127579,2.843082,5.828614,3.889551,2.009346
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,ostracods,4645.689046,25,0.624915,0.69607,0.644033,25,0.86427,0.97244,0.854559,25,4.990133,7.737339,4.230359,23.182606,35.726548,18.536744
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,others,433.462898,8,0.99064,0.947065,0.994472,8,1.561325,1.882398,1.995832,8,31.332568,12.685639,9.961708,13.581506,5.140149,3.754825
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,polychaete,348.657244,5,1.542153,3.157134,3.015709,5,3.057401,5.113611,5.511807,5,46.576893,75.427661,81.982153,16.239371,24.16617,23.948638
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,pteropoda,3411.236749,18,0.466578,0.600527,0.524536,18,0.779861,1.11732,0.933356,18,46.282211,145.924952,85.41687,157.879578,463.407116,251.131633
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,pyrosomes,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,rhizaria,3053.144876,20,0.583474,0.622784,0.588103,20,0.88956,0.927443,0.84973,20,2.926026,3.286226,2.718682,8.933582,9.259144,7.019579
P0810,1,2,32.70227,-120.70846,24-Oct-2008 22:03:59,0,salps,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,All Classes,326149.929329,1791,0.580244,0.865979,0.865591,1791,1.209828,2.005651,2.004443,1791,16.068626,62.209455,61.868665,5240.781079,20287.850852,20174.963004
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,All Copepods,273341.80212,1463,0.551548,0.850369,0.847545,1463,1.11704,1.990524,1.979315,1463,16.266908,93.792273,90.425538,4446.426069,25615.253046,24674.473942
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,All Calanoid Copepods,194336.678445,1125,0.610976,0.824202,0.823722,1125,1.243453,1.751926,1.750003,1125,22.297915,38.36014,37.784665,4333.302821,7453.697862,7340.810014
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,All Non-Calanoid Copepods,79005.123675,338,0.405367,0.403838,0.402923,338,0.806092,0.801663,0.798907,338,1.431847,1.399899,1.382061,113.123248,110.26937,108.538703
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,appendicularia,18422.579505,87,0.786061,0.798412,0.778452,87,2.132605,2.171362,2.105375,87,10.220576,12.028822,9.745064,188.289371,221.261892,176.957972
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,bryozoan_larvae,7538.657244,32,0.484019,0.487896,0.491776,32,0.632755,0.6173,0.608793,32,1.082515,1.055471,1.076045,8.16071,7.70818,7.604939
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,chaetognatha,3458.303887,49,1.467201,1.751322,1.731662,49,5.507801,6.606286,6.533837,49,29.951211,36.81377,34.735219,103.580391,118.640503,110.96
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,cnidaria_ctenophores,226.14841,8,2.827588,2.247191,2.373093,8,4.879202,4.12519,3.711677,8,69.309724,60.66237,55.656223,15.674284,12.003861,9.439925
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,copepoda_calanoida,190916.113074,1048,0.588084,0.826067,0.822427,1048,1.137472,1.675839,1.666872,1048,6.857708,21.667699,20.984298,1309.246914,4131.608375,3996.353614
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,copepoda_eucalanids,3420.565371,77,1.888659,2.075119,2.089964,77,7.158678,8.205675,8.140687,77,884.080723,1101.935669,1077.638096,3024.055907,3738.092866,3625.205018
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,copepoda_harpacticoida,499.434629,3,0.50952,0.392516,0.403077,3,1.469245,0.836619,0.827913,3,1.252161,0.218313,0.212282,0.625372,0.057602,0.05001
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,copepoda_oithona_like,43139.964664,184,0.336556,0.335922,0.335106,184,0.714121,0.712622,0.710754,184,0.859993,0.852859,0.845394,37.100072,36.591406,36.071967
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,copepoda_others,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,copepoda_poecilostomatoids,35365.724382,151,0.487835,0.484041,0.482523,151,0.908915,0.90003,0.895632,151,2.131946,2.063068,2.027399,75.397804,72.475855,70.745188
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,crustacea_others,197.879859,7,2.464483,2.291172,2.123871,7,4.182676,3.678378,3.239302,7,66.328114,41.183446,25.710363,13.124998,6.985178,3.633974
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,doliolids,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,eggs,8235.971731,42,0.347927,0.363457,0.355933,42,0.388653,0.412073,0.401502,42,4.871848,6.223932,5.434587,40.124404,49.793874,42.198508
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,euphausiids,772.685512,20,2.398666,2.350705,2.262448,20,6.761596,6.458417,6.190822,20,326.147096,264.423637,220.161238,252.009136,196.84144,157.668121
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,multiples,2355.830389,10,0.878501,0.819807,0.780017,10,1.886346,1.743381,1.582127,10,8.649031,6.473106,5.444754,20.375651,13.724587,10.261533
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,nauplii,1649.081272,7,0.323186,0.311696,0.306718,7,0.546145,0.527574,0.510101,7,1.463544,1.34126,1.232539,2.413503,1.895869,1.451827
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,ostracods,4381.837456,23,0.711544,0.95004,0.894871,23,1.053458,1.472988,1.379478,23,7.64504,18.071732,15.242084,33.499321,74.929999,59.606781
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,others,1611.378092,13,0.603233,0.802309,0.756433,13,1.129134,1.553601,1.462671,13,19.91146,20.835517,15.237461,32.08489,28.665402,20.532883
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,polychaete,763.286219,5,1.081847,1.209832,0.753543,5,1.558254,2.080899,1.015308,5,15.51873,23.231378,8.08699,11.845232,12.259272,2.362373
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,pteropoda,1262.720848,8,0.450942,0.605884,0.41406,8,0.618435,1.023475,0.501657,8,47.236859,148.763696,4.672184,59.646967,183.641686,4.666901
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,pyrosomes,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,rhizaria,1875.229682,15,0.639404,0.896387,0.99678,15,0.949394,1.414237,1.398993,15,5.916424,10.781513,10.602921,11.094655,17.677871,17.085315
P0810,1,3,32.72503,-120.70769,24-Oct-2008 22:52:59,0,salps,56.537102,2,2.629333,0.668737,NaN,2,4.569146,7.38501,NaN,2,43.007104,4.589418,NaN,2.431497,0.129736,NaN
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,All Classes,524650.176678,1935,0.535326,0.78963,0.786644,1935,1.113896,1.740931,1.73208,1935,10.249718,33.8479,31.514433,5377.516566,17756.393058,16521.135215
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,All Copepods,392042.402827,1406,0.502401,0.804291,0.801315,1406,0.992893,1.722244,1.710976,1406,11.421546,57.462977,54.358346,4477.730339,22507.618705,21272.360861
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,All Calanoid Copepods,245300.353357,984,0.566467,0.802184,0.801424,984,1.113617,1.629846,1.626947,984,17.485985,29.00154,28.202144,4289.318289,7112.448235,6914.80698
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,All Non-Calanoid Copepods,146742.04947,422,0.395306,0.39636,0.39548,422,0.791087,0.793856,0.791149,422,1.283968,1.291535,1.278073,188.41205,189.066127,186.643769
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,appendicularia,72240.282686,296,0.611257,0.732155,0.72504,296,1.585547,1.905889,1.882567,296,4.179106,7.064016,6.384082,301.899774,507.810361,456.676151
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,bryozoan_larvae,6007.067138,17,0.48375,0.487023,0.49015,17,0.603372,0.60765,0.604169,17,1.064605,1.08485,1.104655,6.395153,6.133426,5.855062
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,chaetognatha,4706.713781,36,0.982644,1.00067,0.975499,36,3.205101,3.2448,3.143927,36,12.100166,6.510134,5.121189,56.952019,28.340937,22.004826
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,cnidaria_ctenophores,56.537102,1,6.335946,NaN,NaN,1,10.058583,NaN,NaN,1,128.788119,NaN,NaN,7.281307,NaN,NaN
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,copepoda_calanoida,243095.40636,945,0.546333,0.79355,0.792941,945,1.043732,1.578506,1.57692,945,6.326197,19.221189,19.110985,1537.86933,4671.496112,4643.631635
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,copepoda_eucalanids,2204.946996,39,2.786253,2.750181,2.714298,39,8.818461,8.659152,8.509354,39,1247.852653,1177.3934,1114.734311,2751.448958,2529.523629,2331.882374
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,copepoda_harpacticoida,763.250883,3,0.461762,0.571094,0.555802,3,1.490304,1.962889,2.276583,3,1.426938,1.871213,1.739532,1.089112,0.766999,0.614676
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,copepoda_oithona_like,108056.537102,310,0.36411,0.363761,0.363006,310,0.748921,0.748378,0.746037,310,0.99332,0.990496,0.977196,107.334708,106.679538,104.901812
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,copepoda_others,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,copepoda_poecilostomatoids,37922.261484,109,0.482859,0.483651,0.481025,109,0.897161,0.898875,0.893078,109,2.109268,2.10744,2.06236,79.98823,79.174225,76.751867
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,crustacea_others,169.611307,3,2.861837,3.413112,3.026225,3,5.436573,6.300771,6.09649,3,107.695808,146.331596,132.340625,18.266427,16.546329,7.482155
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,doliolids,56.537102,1,5.219958,NaN,NaN,1,10.582917,NaN,NaN,1,101.470166,NaN,NaN,5.736829,NaN,NaN
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,eggs,8353.35689,27,0.386168,0.377183,0.383481,27,0.454266,0.448787,0.428104,27,10.395329,8.348144,6.294181,86.835895,66.785156,48.129352
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,euphausiids,4155.477032,21,0.985064,1.050911,1.023877,21,2.012448,2.295484,2.223331,21,24.508917,11.082837,8.105938,101.846242,45.427882,32.767466
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,multiples,14176.678445,46,0.848791,0.992452,0.944895,46,1.950548,2.195331,2.110765,46,10.293319,20.456005,14.785484,145.925079,282.769936,199.159954
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,nauplii,14544.169611,42,0.452343,0.44737,0.443486,42,0.820352,0.795916,0.779594,42,4.174985,3.8337,3.597109,60.721685,54.403316,49.774841
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,ostracods,3349.823322,12,0.675715,0.928697,0.81175,12,0.929363,1.294732,1.103609,12,7.031835,14.255367,9.500704,23.555406,42.715728,25.111401
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,others,1992.932862,9,0.434981,0.475242,0.390247,9,0.78477,0.790874,0.619459,9,1.350263,1.642451,0.644425,2.690983,3.180436,1.020151
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,polychaete,282.685512,5,2.539114,2.935731,3.475423,5,5.008633,5.958607,7.092302,5,77.870027,59.0586,42.4955,22.012728,13.356009,7.207717
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,pteropoda,466.431095,3,0.552642,1.251174,1.111603,3,1.02129,0.691681,1.445812,3,117.602262,9.797985,2.420577,54.853352,4.016135,0.855328
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,pyrosomes,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,rhizaria,2049.469965,10,0.503551,0.591688,0.462068,10,0.731717,0.892946,0.638186,10,2.348582,4.111629,1.547802,4.813348,8.194201,2.537738
P0810,1,4,32.75017,-120.71001,24-Oct-2008 23:42:59,0,salps,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,All Classes,1006354.946996,2657,0.508719,0.650071,0.647147,2657,0.973835,1.306323,1.297987,2657,6.317777,16.513356,14.443827,6357.926074,16610.518053,14522.007124
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,All Copepods,821822.155477,2077,0.48443,0.62505,0.623416,2077,0.922865,1.21664,1.211006,2077,3.907987,14.216684,13.160679,3211.670498,11676.887977,10803.336567
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,All Calanoid Copepods,535205.017668,1444,0.538302,0.664533,0.664237,1444,0.983048,1.237133,1.236098,1444,5.330505,9.836893,9.642024,2852.912871,5264.198359,5159.369569
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,All Non-Calanoid Copepods,286617.137809,633,0.383833,0.383207,0.382662,633,0.810486,0.808158,0.806193,633,1.251696,1.232667,1.220591,358.757627,352.722645,348.69218
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,appendicularia,44493.639576,127,0.557265,0.600675,0.589615,127,1.33719,1.458267,1.437059,127,2.62837,3.030784,2.831335,116.945743,133.422708,123.308559
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,bryozoan_larvae,18072.579505,41,0.477883,0.474642,0.479083,41,0.597621,0.591192,0.583278,41,1.069642,1.028644,1.049336,19.331192,18.105624,17.975461
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,chaetognatha,1639.575972,29,2.20577,2.259294,2.311522,29,8.481692,8.72843,8.977821,29,86.825852,82.047966,77.39966,142.357581,129.885119,118.150717
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,cnidaria_ctenophores,866.890459,8,2.336362,2.513061,2.353209,8,4.504697,4.421644,3.928759,8,64.251825,64.029379,58.429341,55.699294,51.886422,44.044987
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,copepoda_calanoida,533961.201413,1422,0.533559,0.662682,0.660201,1422,0.968687,1.228307,1.222342,1422,3.606676,8.585534,8.209999,1925.824988,4583.856664,4379.488977
P0810,1,5,32.7768,-120.70874,25-Oct-2008 00:36:00,0,copepoda_eucalanids,1243.816254,22,2.574522,2.621563,2.657498,22,7.147893,6.83823,6.628474,22,745.357587,630.13173,568.930355,927.087882,748.142266,643.313476
