studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Sample,Event,Cast,Bottle,"Assoc. Bottle 1","Assoc. Bottle 2","Assoc. Bottle 3","Nominal Depth (m)","Actual Depth (m)","Phosphate (µmol/L)","Silicic Acid (µmol/L)","Nitrite (µmol/L)","Nitrate (µmol/L)","Ammonium (µmol/L)","Bottle Note","Nutrient Sample Note","Nutrient Analysis Note"
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,16,15,0,0,,3.534,0.59,10.94,0.32,4.66,0.37,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,14,13,0,0,,9.973,0.68,11.68,0.30,7.36,0.26,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,12,11,0,0,,16.343,0.87,12.95,0.26,10.47,0.38,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,10,9,0,0,,24.068,1.11,15.27,0.37,13.32,0.56,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,8,7,0,0,,32.151,1.24,16.76,0.34,14.59,0.48,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,6,5,0,0,,39.59,1.31,18.27,0.35,15.97,0.41,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,4,3,0,0,,48.649,1.55,21.33,0.17,19.34,0.14,,,
P0605KN,"2006-05-12 19:52:31",34.2925,-120.8776,1,CTD,102,10,2,1,0,0,,61.513,1.81,25.48,0.05,23.06,0.06,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,23,22,24,0,,2.998,0.74,11.83,0.45,8.24,0.49,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,20,19,21,0,,5.613,0.76,11.72,0.32,8.60,0.75,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,17,16,18,0,,7.992,0.74,11.69,0.25,8.67,0.66,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,14,13,15,0,,12.912,0.73,11.78,0.29,8.54,0.46,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,11,10,12,0,,19.975,0.78,11.96,0.31,9.33,0.84,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,8,7,9,0,,24.29,0.84,12.08,0.33,9.98,0.80,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,5,4,6,0,,35.79,1.12,14.99,0.38,13.27,0.84,,,
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,1,CTD,127,12,2,1,3,0,,50.548,1.51,20.10,0.12,19.43,0.24,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,16,15,17,18,,2.115,0.77,11.86,0.28,8.94,0.40,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,14,13,0,0,,8.132,0.75,11.79,0.33,8.90,0.43,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,12,11,0,0,,16.125,0.76,11.89,0.32,8.92,0.60,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,10,9,0,0,,24.295,0.96,14.06,0.41,11.30,1.00,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,8,7,0,0,,32.14,1.10,15.29,0.39,12.78,0.91,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,6,5,0,0,,39.791,1.11,15.92,0.43,13.09,0.92,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,4,3,0,0,,48.283,1.46,19.65,0.27,18.08,0.52,,,
P0605KN,"2006-05-13 18:08:09",34.28605,-120.9783,1,CTD,151,14,2,1,0,0,,60.724,1.64,22.24,0.07,21.17,0.78,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,23,22,24,0,,2.799,0.61,10.41,0.32,6.49,0.51,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,20,19,21,0,,5.964,0.62,10.54,0.31,6.46,0.63,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,17,16,18,0,,8.502,0.61,10.36,0.31,6.49,0.52,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,14,13,15,0,,13.142,0.60,10.22,0.30,6.51,0.53,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,11,10,12,0,,19.781,0.66,10.46,0.31,6.59,0.83,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,8,7,9,0,,25.741,0.63,10.33,0.31,6.72,0.40,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,5,4,6,0,,34.704,0.89,12.92,0.37,10.25,0.97,,,
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,1,CTD,178,16,2,1,3,0,,50.476,1.36,17.81,0.22,17.46,0.65,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,24,23,0,0,,1.974,0.57,9.26,0.35,4.78,0.49,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,14,13,15,16,,9.03,0.64,10.47,0.36,6.61,0.47,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,12,11,0,0,,17.028,0.71,11.10,0.31,7.99,0.47,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,10,9,0,0,,23.923,0.92,13.78,0.34,10.77,0.98,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,8,7,0,0,,32.096,1.12,15.64,0.43,13.08,1.15,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,6,5,0,0,,39.785,1.35,18.07,0.30,16.72,0.62,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,4,3,0,0,,47.599,1.56,21.41,0.09,20.61,0.25,,,
P0605KN,"2006-05-14 18:59:41",34.25898,-121.0581,1,CTD,193,18,2,1,0,0,,60.179,1.54,21.26,0.04,21.07,0.41,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,24,23,0,0,,3.137,0.31,4.24,0.23,2.19,0.44,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,22,21,0,0,,5.981,0.35,5.29,0.24,2.54,0.59,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,20,19,0,0,,9.409,0.37,5.06,0.23,2.85,0.56,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,18,17,0,0,,13.311,0.47,6.21,0.26,3.75,0.63,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,16,15,0,0,,20.057,0.54,7.76,0.31,5.27,0.75,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,14,13,0,0,,25.889,0.86,12.42,0.33,9.81,1.19,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,10,9,0,0,,35.855,1.07,14.84,0.44,11.95,1.44,,,
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,1,CTD,219,19,8,7,0,0,,50.608,1.48,19.87,0.14,18.48,0.27,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,23,22,24,0,,6.047,0.23,1.48,0.04,0.07,0.24,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,20,19,21,0,,13.283,0.23,1.59,0.03,0.01,0.17,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,17,16,18,0,,21.313,0.23,1.42,0.02,0.07,0.42,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,14,13,15,0,,40.828,0.23,1.39,0.02,0.07,0.21,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,11,10,12,0,,60.879,0.23,1.49,0.04,0.02,0.37,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,8,7,9,0,,70.398,0.26,1.94,0.09,0.19,0.37,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,5,4,6,0,,80.358,0.36,3.33,0.24,2.07,0.32,,,
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,2,CTD,236,20,2,1,3,0,,101.046,0.58,5.72,0.04,6.12,0.44,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,18,17,0,0,,5.373,0.22,1.50,0.02,0.09,0.26,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,16,15,0,0,,20.964,0.22,1.45,0.05,0.09,0.28,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,14,13,0,0,,35.943,0.22,1.39,0.01,0.04,0.18,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,12,11,0,0,,50.782,0.24,1.55,0.02,0.06,0.46,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,10,9,0,0,,66.061,0.25,2.01,0.08,0.12,0.56,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,8,7,0,0,,76.031,0.37,3.25,0.25,1.81,0.53,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,6,5,0,0,,100.576,0.80,6.59,0.87,5.76,0.00,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,4,3,0,0,,130.016,1.21,15.44,0.05,16.24,0.33,,,
P0605KN,"2006-05-16 18:44:45",33.63227,-122.1813,2,CTD,255,22,2,1,0,0,,160.45,1.20,18.76,0.02,17.93,0.37,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,23,22,24,0,,6.074,0.24,1.77,0.04,0.07,0.34,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,20,19,21,0,,12.919,0.24,1.78,0.07,0.10,0.27,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,17,16,18,0,,21.769,0.24,1.59,0.11,0.11,0.29,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,14,13,15,0,,41.601,0.23,1.45,0.01,0.10,0.27,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,11,10,12,0,,61.542,0.24,1.72,0.01,0.09,0.22,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,8,7,9,0,,71.223,0.30,2.28,0.18,0.63,0.34,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,5,4,6,0,,81.159,0.40,3.85,0.21,3.02,0.34,,,
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,2,CTD,275,23,2,1,3,0,,101.594,0.75,8.04,0.05,9.08,0.35,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,24,23,0,0,,4.037,0.23,1.57,0.04,0.10,0.29,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,22,21,0,0,,20.439,0.23,1.49,0.02,0.09,0.11,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,20,19,0,0,,35.117,0.24,1.35,0.11,0.17,0.33,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,18,17,0,0,,49.866,0.21,1.43,0.04,0.08,0.24,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,16,15,0,0,,63.041,0.22,1.66,0.05,0.06,0.21,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,6,5,7,8,,72.79,0.27,2.30,0.11,0.39,0.25,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,4,3,0,0,,93.852,0.48,4.90,0.09,4.74,0.26,,,
P0605KN,"2006-05-17 19:33:56",33.45472,-122.1286,2,CTD,288,24,2,1,0,0,,129.937,1.05,13.98,0.02,14.95,0.16,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,24,23,0,0,,5.82,0.22,1.73,0.01,0.09,0.30,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,22,21,0,0,,19.875,0.21,1.61,0.05,0.04,0.26,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,20,19,0,0,,35.09,0.22,1.62,0.07,0.07,0.42,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,18,17,0,0,,49.853,0.22,1.68,0.08,0.06,0.23,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,16,15,0,0,,65.43,0.24,1.57,0.03,0.14,0.31,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,6,5,7,8,,80.402,0.24,2.08,0.12,0.24,0.28,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,4,3,0,0,,95.151,0.37,3.79,0.25,3.09,0.41,,,
P0605KN,"2006-05-18 19:48:46",33.47812,-122.1221,2,CTD,318,26,2,1,0,0,,135.802,0.95,12.63,0.06,13.64,0.15,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,23,22,24,0,,6.057,0.23,1.69,0.05,0.12,0.39,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,20,19,21,0,,12.957,0.23,1.88,0.04,0.07,0.13,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,17,16,18,0,,20.901,0.22,1.78,0.04,0.13,0.38,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,14,13,15,0,,40.607,0.22,2.07,0.04,0.10,0.26,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,11,10,12,0,,60.802,0.23,2.10,0.09,0.06,0.30,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,8,7,9,0,,70.657,0.23,2.06,0.05,0.04,0.35,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,5,4,6,0,,80.739,0.24,1.94,0.06,0.23,0.39,,,
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,2,CTD,336,27,2,1,3,0,,100.901,0.43,4.24,0.13,4.00,0.31,,,
P0605KN,"2006-05-19 11:21:27",33.61882,-122.1353,2,CTD,341,28,2,2,0,0,,498.914,2.67,78.92,0.06,37.82,0.33,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,24,23,0,0,,5.195,0.22,1.61,0.00,0.14,0.17,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,22,21,0,0,,19.942,0.23,1.65,0.09,0.05,0.24,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,20,19,0,0,,34.825,0.23,1.64,0.06,0.07,0.38,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,18,17,0,0,,51.125,0.22,1.76,0.06,0.06,0.33,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,16,15,0,0,,64.565,0.23,1.74,0.09,0.08,0.33,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,6,5,7,8,,76.659,0.27,1.90,0.15,0.23,0.35,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,4,3,0,0,,95.301,0.41,3.89,0.26,3.13,0.72,,,
P0605KN,"2006-05-19 18:02:20",33.57962,-122.1292,2,CTD,349,29,2,1,0,0,,130.342,0.81,10.12,0.10,11.04,0.46,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,23,22,24,0,,5.785,0.22,1.67,0.07,0.04,0.19,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,20,19,21,0,,13.059,0.24,1.70,0.05,0.04,0.10,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,17,16,18,0,,20.314,0.23,1.66,0.07,0.04,0.02,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,14,13,15,0,,40.439,0.23,1.61,0.05,0.06,0.09,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,11,10,12,0,,60.543,0.22,1.79,0.10,0.11,0.22,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,8,7,9,0,,70.324,0.27,2.18,0.18,0.51,0.67,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,5,4,6,0,,80.311,0.38,3.33,0.35,2.48,0.18,,,
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,2,CTD,370,31,2,1,3,0,,100.898,0.57,5.94,0.10,6.61,0.42,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,16,15,0,0,,5.762,0.22,1.72,0.10,0.06,0.11,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,14,13,0,0,,20.257,0.22,1.69,0.06,0.08,0.14,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,12,11,0,0,,34.872,0.21,1.60,0.07,0.08,0.10,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,10,9,0,0,,50.293,0.23,1.59,0.07,0.07,0.07,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,8,7,0,0,,64.711,0.23,1.64,0.03,0.06,0.08,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,6,5,0,0,,74.814,0.27,2.01,0.16,0.27,0.19,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,4,3,0,0,,94.316,0.45,4.17,0.19,3.80,0.01,,,
P0605KN,"2006-05-20 18:21:20",33.43977,-122.0655,2,CTD,383,32,2,1,0,0,,130.581,0.93,11.84,0.10,13.10,0.00,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,22,21,23,0,,5.665,0.22,1.61,0.06,0.07,0.10,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,20,19,0,0,,12.879,0.23,1.70,0.07,0.07,0.10,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,18,17,0,0,,20.504,0.22,1.93,0.15,0.09,0.06,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,14,15,0,0,,40.454,0.23,1.67,0.13,0.03,0.10,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,12,11,0,0,,60.083,0.23,1.67,0.08,0.09,0.04,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,10,8,9,0,,70.356,0.25,1.67,0.07,0.09,0.10,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,6,7,0,0,,80.366,0.36,2.90,0.45,1.65,0.16,,,
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,2,CTD,404,34,4,5,0,0,,100.668,0.55,5.57,0.08,6.13,0.01,,,
P0605KN,"2006-05-22 09:15:37",34.61168,-120.7666,3,CTD,420,35,23,21,22,24,,2.953,0.31,4.10,0.24,1.69,0.88,,,
P0605KN,"2006-05-22 09:15:37",34.61168,-120.7666,3,CTD,420,35,19,17,18,20,,5.433,0.30,4.06,0.20,1.75,0.82,,,
P0605KN,"2006-05-22 09:15:37",34.61168,-120.7666,3,CTD,420,35,15,13,14,16,,8.708,0.34,6.03,0.27,1.79,0.94,,,
P0605KN,"2006-05-22 09:15:37",34.61168,-120.7666,3,CTD,420,35,11,9,10,12,,12.83,0.58,11.81,0.41,5.37,0.93,,,
P0605KN,"2006-05-22 09:15:37",34.61168,-120.7666,3,CTD,420,35,7,5,6,8,,19.841,0.61,12.16,0.42,6.05,0.91,,,
P0605KN,"2006-05-22 09:15:37",34.61168,-120.7666,3,CTD,420,35,3,2,4,0,,26.364,0.70,13.05,0.47,7.69,1.06,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,16,15,17,18,,0.742,0.40,7.28,0.33,1.30,0.35,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,14,13,0,0,,4.396,0.39,7.50,0.26,1.65,0.38,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,12,11,0,0,,9.751,0.45,9.93,0.37,3.79,0.57,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,10,9,0,0,,14.529,0.74,12.80,0.46,7.93,1.11,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,8,7,0,0,,19.603,0.90,14.10,0.45,10.20,1.07,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,6,5,0,0,,29.813,0.98,14.66,0.48,11.46,0.93,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,4,3,0,0,,39.486,1.24,16.62,0.34,15.68,0.42,,,
P0605KN,"2006-05-22 18:02:50",34.63456,-120.7664,3,CTD,427,36,2,1,0,0,,50.575,1.51,20.96,0.27,19.67,0.09,,,
P0605KN,"2006-05-23 09:12:35",34.7454,-120.7665,3,CTD,460,40,23,21,22,24,,3.59,0.28,5.95,0.20,0.39,0.39,,,
P0605KN,"2006-05-23 09:12:35",34.7454,-120.7665,3,CTD,460,40,19,17,18,20,,6.127,0.34,6.48,0.19,0.66,0.24,,,
P0605KN,"2006-05-23 09:12:35",34.7454,-120.7665,3,CTD,460,40,15,13,14,16,,9.322,0.44,9.47,0.29,3.28,0.70,,,
P0605KN,"2006-05-23 09:12:35",34.7454,-120.7665,3,CTD,460,40,11,9,10,12,,13.587,0.97,14.57,0.50,11.16,1.09,,,
P0605KN,"2006-05-23 09:12:35",34.7454,-120.7665,3,CTD,460,40,7,5,6,8,,20.438,1.03,15.20,0.50,11.88,1.03,,,
P0605KN,"2006-05-23 09:12:35",34.7454,-120.7665,3,CTD,460,40,3,1,2,4,,27.039,1.16,16.76,0.48,13.99,0.55,,,
P0605KN,"2006-05-23 18:10:37",34.79214,-120.7953,3,CTD,469,41,16,15,0,0,,1.49,0.22,5.52,0.12,0.21,0.20,,,
P0605KN,"2006-05-23 18:10:37",34.79214,-120.7953,3,CTD,469,41,14,13,0,0,,5.001,0.25,5.38,0.18,0.22,0.22,,,
